"","Region","Site","Year","Zone","Taxon","ID","IDsite","x","Points"
"404","GBR","1. North Reef","2002","7-15m","Massive Porites","2002.1. North Reef.7-15m","1. North Reef.7-15m",1.4,2
"405","GBR","1. North Reef","2002","7-15m","Merulina","2002.1. North Reef.7-15m","1. North Reef.7-15m",0,2
"406","GBR","1. North Reef","2002","7-15m","Montipora","2002.1. North Reef.7-15m","1. North Reef.7-15m",0,2
"407","GBR","1. North Reef","2002","7-15m","Mussidae","2002.1. North Reef.7-15m","1. North Reef.7-15m",0.4,2
"408","GBR","1. North Reef","2002","7-15m","Other Agariciidae","2002.1. North Reef.7-15m","1. North Reef.7-15m",0,2
"409","GBR","1. North Reef","2002","7-15m","Other Faviidae","2002.1. North Reef.7-15m","1. North Reef.7-15m",2,2
"410","GBR","1. North Reef","2002","7-15m","Other Pocillopora","2002.1. North Reef.7-15m","1. North Reef.7-15m",0.4,2
"411","GBR","1. North Reef","2002","7-15m","Pavona","2002.1. North Reef.7-15m","1. North Reef.7-15m",0,2
"412","GBR","1. North Reef","2002","7-15m","Pectiniidae","2002.1. North Reef.7-15m","1. North Reef.7-15m",0.2,2
"413","GBR","1. North Reef","2002","7-15m","Pocillopora damicornis","2002.1. North Reef.7-15m","1. North Reef.7-15m",2.2,2
"414","GBR","1. North Reef","2002","7-15m","Psammocora","2002.1. North Reef.7-15m","1. North Reef.7-15m",0.4,2
"415","GBR","1. North Reef","2002","7-15m","Scolymia","2002.1. North Reef.7-15m","1. North Reef.7-15m",0,2
"416","GBR","1. North Reef","2002","7-15m","Seriatopora","2002.1. North Reef.7-15m","1. North Reef.7-15m",0.4,2
"417","GBR","1. North Reef","2002","7-15m","Staghorn Acropora","2002.1. North Reef.7-15m","1. North Reef.7-15m",0.6,2
"418","GBR","1. North Reef","2002","7-15m","Stylophora","2002.1. North Reef.7-15m","1. North Reef.7-15m",0.8,2
"419","GBR","1. North Reef","2002","7-15m","Tabular Acropora","2002.1. North Reef.7-15m","1. North Reef.7-15m",0.4,2
"420","GBR","1. North Reef","2002","7-15m","Turbinaria","2002.1. North Reef.7-15m","1. North Reef.7-15m",0,2
"449","GBR","1. North Reef","2011","7-15m","Astreopora","2011.1. North Reef.7-15m","1. North Reef.7-15m",0.4,3
"450","GBR","1. North Reef","2011","7-15m","Bushy Acropora","2011.1. North Reef.7-15m","1. North Reef.7-15m",3.8,3
